ibm_title,ward,district,province,long,lat
Ea R'Bin,Ea R'Bin,Lắk,Đắk Lắk,107.97,12.36
Nam Ka,Nam Ka,Lắk,Đắk Lắk,108.06,12.31
Liên Sơn,TT. Liên Sơn,Lắk,Đắk Lắk,108.18,12.41
Cư K Róa,Cư K Róa,M'Đrắk,Đắk Lắk,108.9,12.73
Đắk Nuê,Đắk Nuê,Lắk,Đắk Lắk,108.15,12.31
Yang Tao,Yang Tao,Lắk,Đắk Lắk,108.23,12.45
Cư San,Cư San,M'Đrắk,Đắk Lắk,108.78,12.54
Krông Nô,Krông Nô,Lắk,Đắk Lắk,108.26,12.24
Cư Prao,Cư Prao,M'Đrắk,Đắk Lắk,108.71,12.89
Cư M'ta,Cư M'ta,M'Đrắk,Đắk Lắk,108.77,12.71
Ea Lai,Ea Lai,M'Đrắk,Đắk Lắk,108.74,12.83
Ea H'MLay,Ea H'MLay,M'Đrắk,Đắk Lắk,108.81,12.83
Ea Riêng,Ea Riêng,M'Đrắk,Đắk Lắk,108.8,12.77
Ea M' Doal,Ea M' Doal,M'Đrắk,Đắk Lắk,108.87,12.79
M'Đrắk,TT. M'Đrắk,M'Đrắk,Đắk Lắk,108.74,12.75
Krông Jing,Krông Jing,M'Đrắk,Đắk Lắk,108.7,12.77
Bình Thuận,Bình Thuận,TX. Buôn Hồ,Đắk Lắk,108.28,12.8
Cư Bao,Cư Bao,TX. Buôn Hồ,Đắk Lắk,108.23,12.8
Ea Pil,Ea Pil,M'Đrắk,Đắk Lắk,108.63,12.82
Ea Trang,Ea Trang,M'Đrắk,Đắk Lắk,108.87,12.62
An Bình,P. An Bình,TX. Buôn Hồ,Đắk Lắk,108.25,12.91
KRông Á,Krông á,M'Đrắk,Đắk Lắk,108.72,12.68
Ea Drông,Ea Drông,TX. Buôn Hồ,Đắk Lắk,108.34,12.88
An Lạc,P. An Lạc,TX. Buôn Hồ,Đắk Lắk,108.28,12.91
Ea Siên,Ea Siên,TX. Buôn Hồ,Đắk Lắk,108.32,12.83
Cư KNia,Cư Knia,Cư Jút,Đắk Nông,107.81,12.6
Đoàn Kết,P. Đoàn Kết,TX. Buôn Hồ,Đắk Lắk,108.23,12.89
Đắk Drông,Đắk Drông,Cư Jút,Đắk Nông,107.8,12.64
Ea Blang,Ea Blang,TX. Buôn Hồ,Đắk Lắk,108.29,12.88
Bình Tân,P. Bình Tân,TX. Buôn Hồ,Đắk Lắk,108.24,12.83
Tâm Thắng,Tâm Thắng,Cư Jút,Đắk Nông,107.91,12.61
Nam Dong,Nam Dong,Cư Jút,Đắk Nông,107.87,12.65
Trúc Sơn,Trúc Sơn,Cư Jút,Đắk Nông,107.85,12.58
Đạt Hiếu,P. Đạt Hiếu,TX. Buôn Hồ,Đắk Lắk,108.25,12.93
Ea Pô,Ea Pô,Cư Jút,Đắk Nông,107.86,12.74
Đắk Wil,Đắk Wil,Cư Jút,Đắk Nông,107.7,12.72
Đắk Plao,Đắk Som,Đắk Glong,Đắk Nông,107.99,11.88
Quảng Khê,Đắk Plao,Đắk Glong,Đắk Nông,107.86,11.95
Ea T'ling,TT. Ea T'Ling,Cư Jút,Đắk Nông,107.89,12.58
Đắk R'Măng,Đắk R'Măng,Đắk Glong,Đắk Nông,107.94,12.02
Quảng Sơn,Quảng Sơn,Đắk Glong,Đắk Nông,107.87,12.17
Đắk Lao,Đắk Lao,Đắk Mil,Đắk Nông,107.62,12.57
Quảng Khê,Quảng Khê,Đắk Glong,Đắk Nông,107.8,11.9
Đắk Ha,Đắk Ha,Đắk Glong,Đắk Nông,107.8,12.05
Đắk Gằn,Đắk Gằn,Đắk Mil,Đắk Nông,107.81,12.54
Đức Mạnh,Đức Mạnh,Đắk Mil,Đắk Nông,107.67,12.47
Đắk R'La,Đắk R'La,Đắk Mil,Đắk Nông,107.74,12.55
Quảng Hoà,Quảng Hòa,Đắk Glong,Đắk Nông,108.05,12.17
Đắk Sắk,Đắk Sắk,Đắk Mil,Đắk Nông,107.69,12.42
Thuận An,Thuận An,Đắk Mil,Đắk Nông,107.58,12.39
Đắk N'Drót,Đắk N'Drót,Đắk Mil,Đắk Nông,107.69,12.52
Đắk Mil,TT. Đắk Mil,Đắk Mil,Đắk Nông,107.62,12.45
Đức Minh,Đức Minh,Đắk Mil,Đắk Nông,107.62,12.4
Đắk Ru,Đắk Ru,Đắk RLấp,Đắk Nông,107.43,11.9
Đắk Wer,Đắk Wer,Đắk RLấp,Đắk Nông,107.56,12.0
Long Sơn,Long Sơn,Đắk Mil,Đắk Nông,107.73,12.45
Đạo Nghĩa,Đạo Nghĩa,Đắk RLấp,Đắk Nông,107.57,11.86
Nhân Cơ,Nhân Cơ,Đắk RLấp,Đắk Nông,107.62,11.96
Kiến Đức,Kiến Thành,Đắk RLấp,Đắk Nông,107.5,11.99
Kiến Đức,TT. Kiến Đức,Đắk RLấp,Đắk Nông,107.5,12.0
Nhân Đạo,Nhân Đạo,Đắk RLấp,Đắk Nông,107.61,11.91
Nghĩa Thắng,Nghĩa Thắng,Đắk RLấp,Đắk Nông,107.55,11.91
Đắk Hòa,Đắk Hòa,Đắk Song,Đắk Nông,107.68,12.31
Quảng Tín,Quảng Tín,Đắk RLấp,Đắk Nông,107.45,11.96
Đắk Môl,Đắk Môl,Đắk Song,Đắk Nông,107.7,12.34
Hưng Bình,Hưng Bình,Đắk RLấp,Đắk Nông,107.44,11.81
Đắk Sin,Đắk Sin,Đắk RLấp,Đắk Nông,107.51,11.86
Nam Bình,Nam Bình,Đắk Song,Đắk Nông,107.62,12.28
Đắk N'Dung,Đắk N'Drung,Đắk Song,Đắk Nông,107.56,12.2
Thuận Hà,Thuận Hà,Đắk Song,Đắk Nông,107.51,12.26
Trường Xuân,Trường Xuân,Đắk Song,Đắk Nông,107.64,12.11
Đắk Drô,Đắk DRô,KRông Nô,Đắk Nông,107.87,12.43
Đắk Sôr,Đắk Sôr,KRông Nô,Đắk Nông,107.87,12.52
Nâm N'Jang,Nâm N'Jang,Đắk Song,Đắk Nông,107.66,12.19
Nam Đà,Nam Đà,KRông Nô,Đắk Nông,107.89,12.49
Thuận Hạnh,Thuận Hạnh,Đắk Song,Đắk Nông,107.53,12.31
Đức Xuyên,Đức Xuyên,KRông Nô,Đắk Nông,107.87,12.29
Nâm N'Đir,Nâm N'Đir,KRông Nô,Đắk Nông,107.86,12.34
Đức An,TT. Đức An,Đắk Song,Đắk Nông,107.62,12.25
Nam Xuân,Nam Xuân,KRông Nô,Đắk Nông,107.79,12.48
Đắk Nang,Đắk Nang,KRông Nô,Đắk Nông,107.93,12.29
Tân Thành,Tân Thành,KRông Nô,Đắk Nông,107.76,12.4
Đắk Mâm,TT. Đắk Mâm,KRông Nô,Đắk Nông,107.82,12.46
Đắk Ngo,Đắk Ngo,Tuy Đức,Đắk Nông,107.38,12.04
Nâm Nung,Nam Nung,KRông Nô,Đắk Nông,107.8,12.35
Buôn Choah,Buôn Choah,KRông Nô,Đắk Nông,107.96,12.47
Đắk R'Tíh,Đắk R'Tih,Tuy Đức,Đắk Nông,107.49,12.11
Quảng Tâm,Quảng Tâm,Tuy Đức,Đắk Nông,107.44,12.16
Quảng Tân,Quảng Tân,Tuy Đức,Đắk Nông,107.5,12.05
Quảng Trực,Quảng Trực,Tuy Đức,Đắk Nông,107.3,12.18
Quảng Phú,Quảng Phú,KRông Nô,Đắk Nông,108.02,12.25
Nghĩa Thành,P. Nghĩa Thành,TX. Gia Nghĩa,Đắk Nông,107.69,12.01
Đắk Búk So,Đắk Búk So,Tuy Đức,Đắk Nông,107.48,12.21
Nghĩa Tân,P. Nghĩa Tân,TX. Gia Nghĩa,Đắk Nông,107.67,11.97
Nghĩa Phú,P. Nghĩa Phú,TX. Gia Nghĩa,Đắk Nông,107.66,12.0
Quảng Thành,Quảng Thành,TX. Gia Nghĩa,Đắk Nông,107.72,12.08
Nghĩa Đức,P. Nghĩa Đức,TX. Gia Nghĩa,Đắk Nông,107.71,12.01
Đắk Nia,Đắk Nia,TX. Gia Nghĩa,Đắk Nông,107.72,11.95
Đắk KRoong,Đắk Kroong,Đắk Glei,Kon Tum,107.7,14.98
Đắk Long,Đắk Long,Đắk Glei,Kon Tum,107.57,14.97
Đắk Man,Đắk Man,Đắk Glei,Kon Tum,107.72,15.21
Nghĩa Trung,P. Nghĩa Trung,TX. Gia Nghĩa,Đắk Nông,107.69,11.98
Đăk R'Moan,Đắk R'Moan,TX. Gia Nghĩa,Đắk Nông,107.62,12.02
Đắk Môn,Đắk Môn,Đắk Glei,Kon Tum,107.67,14.91
Đắk Pék,Đắk Pék,Đắk Glei,Kon Tum,107.73,15.1
Đắk Plô,Đắk Plô,Đắk Glei,Kon Tum,107.65,15.31
Đắk Choong,Đắk Choong,Đắk Glei,Kon Tum,107.84,15.17
Xốp,Xốp,Đắk Glei,Kon Tum,107.83,15.07
Đắk La,Đắk La,Đắk Hà,Kon Tum,107.94,14.44
Mường Hoong,Mường Hoong,Đắk Glei,Kon Tum,107.94,15.14
Đắk HRing,Đắk Hring,Đắk Hà,Kon Tum,107.93,14.6
Đắk Nhoong,Đắk Nhoong,Đắk Glei,Kon Tum,107.65,15.12
Ngọc Linh,Ngọc Linh,Đắk Glei,Kon Tum,107.93,15.06
Đắk Mar,Đắk Mar,Đắk Hà,Kon Tum,107.91,14.54
Đắk PXi,Đắk Pxi,Đắk Hà,Kon Tum,108.03,14.73
Đăk Ngọk,Đắk Ngọk,Đắk Hà,Kon Tum,107.96,14.54
Đắk Ui,Đắk Ui,Đắk Hà,Kon Tum,108.03,14.6
Đắk Hà,TT. Đắk Hà,Đắk Hà,Kon Tum,107.92,14.51
Đắk Rơ Nga,Đắk Rơ Nga,Đắk Tô,Kon Tum,107.76,14.77
Ngok Wang,Ngọk Wang,Đắk Hà,Kon Tum,108.0,14.5
Đắk Trăm,Đắk Trăm,Đắk Tô,Kon Tum,107.85,14.78
Hà Mòn,Hà Mòn,Đắk Hà,Kon Tum,107.91,14.47
Diên Bình,Diên Bình,Đắk Tô,Kon Tum,107.87,14.6
Ngọk Tụ,Ngọk Tụ,Đắk Tô,Kon Tum,107.79,14.72
Kon Đào,Kon Đào,Đắk Tô,Kon Tum,107.85,14.71
Ngok Réo,Ngọk Réo,Đắk Hà,Kon Tum,108.06,14.49
Đắk Tô,TT. Đắk Tô,Đắk Tô,Kon Tum,107.85,14.65
Đắk Glei,TT. Đắk Glei,Đắk Glei,Kon Tum,107.76,15.03
Pô Kô,Pô Cô,Đắk Tô,Kon Tum,107.81,14.59
Đăk Long,Đắk Long,Đắk Hà,Kon Tum,107.92,14.66
Văn Lem,Văn Lem,Đắk Tô,Kon Tum,107.89,14.74
Ia Tơi,Ia Tơi,Ia H' Drai,Kon Tum,107.56,14.1
Đắk Nên,Đắk Nên,Kon Plông,Kon Tum,108.21,15.0
Đắk Tăng,Đắk Tăng,Kon Plông,Kon Tum,108.22,14.78
Măng Buk,Măng Buk,Kon Plông,Kon Tum,108.18,14.89
Măng Cành,Măng Cành,Kon Plông,Kon Tum,108.29,14.68
Tân Cảnh,Tân Cảnh,Đắk Tô,Kon Tum,107.78,14.66
Hiếu,Hiếu,Kon Plông,Kon Tum,108.45,14.62
Ia Dom,Ia Dom,Ia H' Drai,Kon Tum,107.49,14.23
Đắk Long,Đắk Long,Kon Plông,Kon Tum,108.32,14.61
Ia Dal,Ia Dal,Ia H' Drai,Kon Tum,107.4,14.1
Đắk Ring,Đắk Ring,Kon Plông,Kon Tum,108.26,14.9
Ngok Tem,Ngok Tem,Kon Plông,Kon Tum,108.35,14.79
Đắk Tờ Re,Đắk Tơ Re,Kon Rẫy,Kon Tum,108.12,14.41
Pờ Ê,Pờ Ê,Kon Plông,Kon Tum,108.47,14.74
Đắk Rve,TT. Đắk Rve,Kon Rẫy,Kon Tum,108.25,14.54
Tân Lập,Tân Lập,Kon Rẫy,Kon Tum,108.22,14.46
Đắk Ruồng,Đắk Ruồng,Kon Rẫy,Kon Tum,108.17,14.44
Đắk Blà,Đắk Blà,Kon Tum,Kon Tum,108.06,14.37
Đắk Kôi,Đắk Kôi,Kon Rẫy,Kon Tum,108.15,14.66
Đoàn Kết,Đoàn Kết,Kon Tum,Kon Tum,107.95,14.34
Đắk Cấm,Đắk Cấm,Kon Tum,Kon Tum,108.02,14.42
Đăk Năng,Đắk Năng,Kon Tum,Kon Tum,107.91,14.35
Đắk Tơ Lung,Đắk Tơ Lung,Kon Rẫy,Kon Tum,108.16,14.54
Ia Chim,Ia Chim,Kon Tum,Kon Tum,107.9,14.3
Kroong,Kroong,Kon Tum,Kon Tum,107.89,14.4
Đắk Pne,Đắk Pne,Kon Rẫy,Kon Tum,108.3,14.48
Hòa Bình,Hòa Bình,Kon Tum,Kon Tum,107.98,14.27
Đắk Rơ Wa,Đắk Rơ Wa,Kon Tum,Kon Tum,108.05,14.33
Ngọk Bay,Ngọk Bay,Kon Tum,Kon Tum,107.93,14.38
Nguyễn Trãi,P. Nguyễn Trãi,Kon Tum,Kon Tum,107.98,14.34
Thống Nhất,P. Thống Nhất,Kon Tum,Kon Tum,108.01,14.34
Thắng Lợi,P. Thắng Lợi,Kon Tum,Kon Tum,108.02,14.35
Vinh Quang,P. Ngô Mây,Kon Tum,Kon Tum,107.98,14.4
Lê Lợi,P. Lê Lợi,Kon Tum,Kon Tum,107.99,14.33
Duy Tân,P. Duy Tân,Kon Tum,Kon Tum,108.0,14.38
Quang Trung,P. Quang Trung,Kon Tum,Kon Tum,108.0,14.36
Ngô Mây,Vinh Quang,Kon Tum,Kon Tum,107.97,14.38
Quyết Thắng,P. Quyết Thắng,Kon Tum,Kon Tum,108.0,14.35
Đắk Ang,Đắk Ang,Ngọc Hồi,Kon Tum,107.74,14.87
Trường Chinh,P. Trường Chinh,Kon Tum,Kon Tum,108.02,14.37
Đắk Kan,Đắk Kan,Ngọc Hồi,Kon Tum,107.7,14.64
Pờ Y,Pờ Y,Ngọc Hồi,Kon Tum,107.58,14.67
Đắk Dục,Đắk Dục,Ngọc Hồi,Kon Tum,107.64,14.84
Đắk Nông,Đắk Nông,Ngọc Hồi,Kon Tum,107.62,14.79
Sa Loong,Sa Loong,Ngọc Hồi,Kon Tum,107.6,14.57
Hơ Moong,Hơ Moong,Sa Thầy,Kon Tum,107.84,14.5
Sa Nghĩa,Sa Nghĩa,Sa Thầy,Kon Tum,107.84,14.43
Đắk Xú,Đắk Xú,Ngọc Hồi,Kon Tum,107.61,14.74
Plei Cần,TT. Plei Cần,Ngọc Hồi,Kon Tum,107.7,14.71
Rơ Kơi,Rờ Kơi,Sa Thầy,Kon Tum,107.67,14.51
Sa Bình,Sa Bình,Sa Thầy,Kon Tum,107.85,14.37
Ya Ly,Ya Ly,Sa Thầy,Kon Tum,107.83,14.32
Mô Rai,Mô Rai,Sa Thầy,Kon Tum,107.59,14.36
Ya Tăng,Ya Tăng,Sa Thầy,Kon Tum,107.76,14.27
Trần Hưng Đạo,P. Trần Hưng Đạo,Kon Tum,Kon Tum,107.99,14.3
Sa Thầy,TT. Sa Thầy,Sa Thầy,Kon Tum,107.79,14.4
Đắk Rơ Ông,Đắk Rơ Ông,Tu Mơ Rông,Kon Tum,107.87,14.87
Sa Nhơn,Sa Nhơn,Sa Thầy,Kon Tum,107.78,14.47
Sa Sơn,Sa Sơn,Sa Thầy,Kon Tum,107.74,14.41
Đắk Na,Đắk Na,Tu Mơ Rông,Kon Tum,107.84,14.98
Đắk Rơ Ông,Đắk Tơ Kan,Tu Mơ Rông,Kon Tum,107.87,14.83
Măng Ri,Măng Ri,Tu Mơ Rông,Kon Tum,107.92,14.97
Tê Xăng,Tê Xăng,Tu Mơ Rông,Kon Tum,107.94,14.92
Đắk Sao,Đắk Sao,Tu Mơ Rông,Kon Tum,107.83,14.91
Ya Xiêr,Ya Xiêr,Sa Thầy,Kon Tum,107.77,14.35
Ngok Yêu,Ngọk Yêu,Tu Mơ Rông,Kon Tum,108.1,14.87
Đắk Hà,Đắk Hà,Tu Mơ Rông,Kon Tum,107.95,14.8
Tu Mơ Rông,Tu Mơ Rông,Tu Mơ Rông,Kon Tum,107.98,14.85
Văn Xuôi,Văn Xuôi,Tu Mơ Rông,Kon Tum,108.05,14.91
Lộc Đức,Lộc Đức,Bảo Lâm,Lâm Đồng,107.92,11.63
Lộc Lâm,Lộc Lâm,Bảo Lâm,Lâm Đồng,107.82,11.82
Lộc An,Lộc An,Bảo Lâm,Lâm Đồng,107.91,11.55
Lộc Bắc,Lộc Bắc,Bảo Lâm,Lâm Đồng,107.6,11.73
Lộc Ngãi,Lộc Ngãi,Bảo Lâm,Lâm Đồng,107.89,11.66
B' Lá,B' Lá,Bảo Lâm,Lâm Đồng,107.74,11.7
Lộc Bảo,Lộc Bảo,Bảo Lâm,Lâm Đồng,107.69,11.82
Ngọk Lây,Ngọk Lây,Tu Mơ Rông,Kon Tum,108.0,14.97
Lộc Nam,Lộc Nam,Bảo Lâm,Lâm Đồng,107.86,11.4
Lộc Tân,Lộc Tân,Bảo Lâm,Lâm Đồng,107.71,11.59
Lộc Quảng,Lộc Quảng,Bảo Lâm,Lâm Đồng,107.78,11.64
Lộc Phú,Lộc Phú,Bảo Lâm,Lâm Đồng,107.87,11.75
Đại Lào,Đại Lào,Bảo Lộc,Lâm Đồng,107.75,11.48
Lộc Thành,Lộc Thanh,Bảo Lâm,Lâm Đồng,107.81,11.45
Đạm Bri,Đạm Bri,Bảo Lộc,Lâm Đồng,107.77,11.61
Lộc Châu,Lộc Châu,Bảo Lộc,Lâm Đồng,107.77,11.51
Lộc Thanh,Lộc Thanh,Bảo Lộc,Lâm Đồng,107.86,11.57
Tân Lạc,Tân Lạc,Bảo Lâm,Lâm Đồng,107.87,11.48
Lộc Nga,Lộc Nga,Bảo Lộc,Lâm Đồng,107.86,11.53
Lộc Tiến,P. Lộc Tiến,Bảo Lộc,Lâm Đồng,107.77,11.55
Phường 1,P. 1,Bảo Lộc,Lâm Đồng,107.82,11.55
Lộc Ngãi,TT. Lộc Thắng,Bảo Lâm,Lâm Đồng,107.83,11.67
Lộc Sơn,P. Lộc Sơn,Bảo Lộc,Lâm Đồng,107.83,11.52
Lộc Phát,P. Lộc Phát,Bảo Lộc,Lâm Đồng,107.83,11.58
Đức Phổ,Đức Phổ,Cát Tiên,Lâm Đồng,107.35,11.57
Đồng Nai Thượng,Đồng Nai Thượng,Cát Tiên,Lâm Đồng,107.45,11.74
Gia Viễn,Gia Viễn,Cát Tiên,Lâm Đồng,107.36,11.63
Phước Cát 2,Phước Cát 2,Cát Tiên,Lâm Đồng,107.33,11.69
Quảng Ngãi,Quảng Ngãi,Cát Tiên,Lâm Đồng,107.39,11.53
Phước Cát 1,Phước Cát 1,Cát Tiên,Lâm Đồng,107.32,11.58
Cát Tiên,TT. Cát Tiên,Cát Tiên,Lâm Đồng,107.37,11.59
Mỹ Lâm,Mỹ Lâm,Cát Tiên,Lâm Đồng,107.41,11.61
Tiên Hoàng,Tiên Hoàng,Cát Tiên,Lâm Đồng,107.41,11.68
Tư Nghĩa,Tư Nghĩa,Cát Tiên,Lâm Đồng,107.4,11.57
Nam Ninh,Nam Ninh,Cát Tiên,Lâm Đồng,107.42,11.64
Đạ M'ri,Đạ M'ri,Đạ Huoai,Lâm Đồng,107.67,11.49
Hà Lâm,Hà Lâm,Đạ Huoai,Lâm Đồng,107.61,11.39
Đạ Oai,Đạ Oai,Đạ Huoai,Lâm Đồng,107.5,11.45
Đạ Ploa,Đạ Ploa,Đạ Huoai,Lâm Đồng,107.72,11.39
Đạ Tồn,Đạ Tồn,Đạ Huoai,Lâm Đồng,107.55,11.45
Đoàn Kết,Đoàn Kết,Đạ Huoai,Lâm Đồng,107.67,11.35
Đạ M'ri,TT. Đạ M'ri,Đạ Huoai,Lâm Đồng,107.69,11.43
Phước Lộc,Phước Lộc,Đạ Huoai,Lâm Đồng,107.62,11.48
Phường 1,P. 1,Đà Lạt,Lâm Đồng,108.44,11.94
Ma Đa Guôi,Ma Đa Guôi,Đạ Huoai,Lâm Đồng,107.51,11.4
Ma Đa Guôi,TT. Ma Đa Guôi,Đạ Huoai,Lâm Đồng,107.55,11.39
Phường 3,P. 3,Đà Lạt,Lâm Đồng,108.46,11.9
Phường 4,P. 4,Đà Lạt,Lâm Đồng,108.42,11.9
Phường 10,P. 10,Đà Lạt,Lâm Đồng,108.47,11.92
Phường 11,P. 11,Đà Lạt,Lâm Đồng,108.49,11.94
Phường 8,P. 8,Đà Lạt,Lâm Đồng,108.45,11.98
Phường 12,P. 12,Đà Lạt,Lâm Đồng,108.49,11.98
Phường 9,P. 9,Đà Lạt,Lâm Đồng,108.47,11.96
Phường 7,P. 7,Đà Lạt,Lâm Đồng,108.4,11.98
Xuân Trường,Xuân Trường,Đà Lạt,Lâm Đồng,108.53,11.88
Phường 5,P. 5,Đà Lạt,Lâm Đồng,108.38,11.95
Xuân Thọ,Xuân Thọ,Đà Lạt,Lâm Đồng,108.53,11.94
Tà Nung,Tà Nung,Đà Lạt,Lâm Đồng,108.36,11.92
Trạm Hành,Trạm Hành,Đà Lạt,Lâm Đồng,108.55,11.85
Đạ K' Nàng,Đạ KNàng,Đam Rông,Lâm Đồng,108.14,11.9
Đạ Long,Đa M'Rong,Đam Rông,Lâm Đồng,108.33,12.15
Chư Hreng,Chư H'reng,Kon Tum,Kon Tum,108.03,14.3
Đạ Tông,Đạ Tông,Đam Rông,Lâm Đồng,108.31,12.12
Rô Men,Rô Men,Đam Rông,Lâm Đồng,108.2,12.06
Đạ Rsal,Đạ R'Sal,Đam Rông,Lâm Đồng,108.14,12.14
Liêng Srônh,Liêng S'Roin,Đam Rông,Lâm Đồng,108.07,12.06
Đạ M' Rong,Đạ Long,Đam Rông,Lâm Đồng,108.24,12.13
Phi Liêng,Phi Liêng,Đam Rông,Lâm Đồng,108.11,11.96
An Nhơn,An Nhơn,Đạ Tẻh,Lâm Đồng,107.47,11.61
Đạ Kho,Đạ Kho,Đạ Tẻh,Lâm Đồng,107.48,11.47
Đạ Lây,Đạ Lây,Đạ Tẻh,Lâm Đồng,107.43,11.57
Đạ Pal,Đạ Pal,Đạ Tẻh,Lâm Đồng,107.61,11.55
Quốc Oai,Quốc Oai,Đạ Tẻh,Lâm Đồng,107.51,11.63
Triệu Hải,Triệu Hải,Đạ Tẻh,Lâm Đồng,107.55,11.5
Hương Lâm,Hương Lâm,Đạ Tẻh,Lâm Đồng,107.44,11.57
Hà Đông,Hà Đông,Đạ Tẻh,Lâm Đồng,107.51,11.53
Quảng Trị,Quảng Trị,Đạ Tẻh,Lâm Đồng,107.6,11.59
Mỹ Đức,Mỹ Đức,Đạ Tẻh,Lâm Đồng,107.57,11.62
Đạ Tẻh,TT. Đạ Tẻh,Đạ Tẻh,Lâm Đồng,107.48,11.52
Bảo Thuận,Bảo Thuận,Di Linh,Lâm Đồng,108.15,11.45
Đinh Trang Hòa,Đinh Trang Hòa,Di Linh,Lâm Đồng,107.96,11.57
Đinh Lạc,Đinh Lạc,Di Linh,Lâm Đồng,108.13,11.62
Hòa Bắc,Hòa Bắc,Di Linh,Lâm Đồng,107.96,11.42
Gia Bắc,Gia Bắc,Di Linh,Lâm Đồng,108.1,11.33
Đinh Trang Thượng,Đinh Trang Thượng,Di Linh,Lâm Đồng,107.95,11.76
Hòa Nam,Hòa Nam,Di Linh,Lâm Đồng,107.9,11.44
Gia Hiệp,Gia Hiệp,Di Linh,Lâm Đồng,108.18,11.62
Hòa Ninh,Hòa Ninh,Di Linh,Lâm Đồng,107.93,11.51
Liên Đầm,Liên Đầm,Di Linh,Lâm Đồng,108.01,11.54
Gung Ré,Gung Ré,Di Linh,Lâm Đồng,108.07,11.49
Hòa Trung,Hòa Trung,Di Linh,Lâm Đồng,107.97,11.5
Tân Châu,Tân Châu,Di Linh,Lâm Đồng,108.04,11.62
Sơn Điền,Sơn Điền,Di Linh,Lâm Đồng,108.03,11.37
Tân Nghĩa,Tân Nghĩa,Di Linh,Lâm Đồng,108.09,11.64
Tam Bố,Tam Bố,Di Linh,Lâm Đồng,108.22,11.48
Tân Thượng,Tân Thượng,Di Linh,Lâm Đồng,108.03,11.67
Đạ Ròn,Đạ Ròn,Đơn Dương,Lâm Đồng,108.46,11.78
Di Linh,TT. Di Linh,Di Linh,Lâm Đồng,108.06,11.59
Ka Đô,Ka Đô,Đơn Dương,Lâm Đồng,108.61,11.73
Tân Lâm,Tân Lâm,Di Linh,Lâm Đồng,107.98,11.67
Lạc Lâm,Lạc Lâm,Đơn Dương,Lâm Đồng,108.52,11.79
Quảng Lập,Quảng Lập,Đơn Dương,Lâm Đồng,108.52,11.74
Pró,Pró,Đơn Dương,Lâm Đồng,108.58,11.69
Lạc Xuân,Lạc Xuân,Đơn Dương,Lâm Đồng,108.61,11.78
Ka Đơn,Ka Đơn,Đơn Dương,Lâm Đồng,108.5,11.71
D'Ran,TT. D'Ran,Đơn Dương,Lâm Đồng,108.62,11.89
Thạnh Mỹ,TT. Thạch Mỹ,Đơn Dương,Lâm Đồng,108.49,11.77
Đà Loan,Đà Loan,Đức Trọng,Lâm Đồng,108.39,11.56
Bình Thạnh,Bình Thạnh,Đức Trọng,Lâm Đồng,108.29,11.77
Đa Quyn,Đạ Quyn,Đức Trọng,Lâm Đồng,108.52,11.6
Tu Tra,Tu Tra,Đơn Dương,Lâm Đồng,108.44,11.7
Ninh Gia,Ninh Gia,Đức Trọng,Lâm Đồng,108.27,11.61
Hiệp An,Hiệp An,Đức Trọng,Lâm Đồng,108.45,11.84
Ninh Loan,Ninh Loan,Đức Trọng,Lâm Đồng,108.34,11.55
Phú Hội,Phú Hội,Đức Trọng,Lâm Đồng,108.36,11.66
Liên Hiệp,Liên Hiệp,Đức Trọng,Lâm Đồng,108.37,11.78
Hiệp Thạnh,Hiệp Thạnh,Đức Trọng,Lâm Đồng,108.41,11.78
N'Thol Hạ,N'Thol Hạ,Đức Trọng,Lâm Đồng,108.32,11.76
Tà Năng,Tà Năng,Đức Trọng,Lâm Đồng,108.44,11.58
Tân Thành,Tân Thành,Đức Trọng,Lâm Đồng,108.27,11.7
Liên Nghĩa,TT. Liên Nghĩa,Đức Trọng,Lâm Đồng,108.37,11.73
Tà Hine,Tà Hine,Đức Trọng,Lâm Đồng,108.35,11.59
Tân Hội,Tân Hội,Đức Trọng,Lâm Đồng,108.29,11.72
Đạ Sar,Đạ Sar,Lạc Dương,Lâm Đồng,108.56,12.02
Đưng KNớ,Đưng KNớ,Lạc Dương,Lâm Đồng,108.42,12.22
Đạ Nhim,Da Nhim,Lạc Dương,Lâm Đồng,108.55,12.18
Đạ Chais,Đạ Chais,Lạc Dương,Lâm Đồng,108.65,12.17
Lạc Dương,TT. Lạc Dương,Lạc Dương,Lâm Đồng,108.43,12.04
The Weather Channel,Lát,Lạc Dương,Lâm Đồng,108.4,12.07
Gia Lâm,Gia Lâm,Lâm Hà,Lâm Đồng,108.34,11.8
Đông Thanh,Đông Thanh,Lâm Hà,Lâm Đồng,108.38,11.84
Đan Phượng,Đan Phượng,Lâm Hà,Lâm Đồng,108.2,11.69
Đạ Đờn,Đạ Đờn,Lâm Hà,Lâm Đồng,108.2,11.84
Phi Tô,Phi Tô,Lâm Hà,Lâm Đồng,108.27,11.9
Hoài Đức,Hoài Đức,Lâm Hà,Lâm Đồng,108.14,11.74
Nam Hà,Nam Hà,Lâm Hà,Lâm Đồng,108.29,11.84
Mê Linh,Mê Linh,Lâm Hà,Lâm Đồng,108.34,11.88
Phúc Thọ,Phúc Thọ,Lâm Hà,Lâm Đồng,108.11,11.81
Liên Hà,Liên Hà,Lâm Hà,Lâm Đồng,108.13,11.7
